E,coh
5.2966300000e-02,1.743332e-02
5.3456400000e-02,1.714530e-02
5.3951100000e-02,1.686203e-02
5.4450300000e-02,1.658344e-02
5.4954100000e-02,1.630947e-02
5.5462600000e-02,1.604004e-02
5.5975800000e-02,1.577502e-02
5.6493700000e-02,1.551442e-02
5.7016400000e-02,1.525809e-02
5.7544000000e-02,1.500601e-02
5.8076400000e-02,1.475811e-02
5.8613800000e-02,1.451148e-02
5.9156200000e-02,1.426689e-02
5.9703500000e-02,1.402641e-02
6.0256000000e-02,1.378997e-02
6.0813500000e-02,1.355751e-02
6.1376200000e-02,1.332900e-02
6.1944100000e-02,1.310430e-02
